#Names created (100k),Time (s)
0,0174.30
5,0175.30
10,0176.59
15,0178.08
20,0179.86
25,0181.97
30,0184.28
35,0186.93
40,0189.91
45,0193.23
50,0196.74
55,0200.62
60,0204.80
65,0209.13
70,0213.66
75,0218.57
80,0223.79
85,0229.42
90,0235.40
95,0241.75
100,0248.29
105,0255.05
110,0261.97
115,0269.30
120,0276.96
125,0285.14
130,0293.54
135,0302.33
140,0311.44
145,0320.91
150,0330.55
155,0340.54
160,0351.00
165,0361.44
170,0372.11
175,0383.18
180,0394.55
185,0406.52
190,0418.94
195,0431.85
200,0444.83
205,0458.77
210,0473.15
215,0487.91
220,0502.79
225,0517.67
230,0533.05
235,0548.77
240,0564.63
245,0580.97
250,0597.76
255,0614.95
260,0632.33
265,0650.56
270,0669.40
275,0688.50
280,0707.74
285,0727.16
290,0746.95
295,0767.21
300,0787.90
305,0809.86
310,0832.10
315,0854.79
320,0878.02
325,0901.15
330,0924.56
335,0948.43
340,0972.68
345,0997.35
350,1022.39
